example_id,customer_message,current_intent,human_verified_intent,expected_behavior,gold_guidance,human_review_status,reviewer_notes
golden_011,"Hi, Delivery date keeps being pushed back on my order. I chose you over another company because I thought you were reliable 😞",delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_012,trying to place an order via pantry and use code PANTRY10 as its my first order. I tried speaking to someone last night but they cut me off? Any advice? Thanks,delivery_delay,unknown_or_ambiguous,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_013,"Hello. Package was supposed to be delievered today - tracking says it was delayed, but Amazon says it's still coming today.
Can you clarify??",delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_014,Did not receive my package again 🤬,delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_015,"I have really fed up with unresponsive service from your side. I have requested multiple times regarding this over the mail
Kindly look into this matter
 Your Amazon.in Order #407-7610889-3961162",delivery_delay,service_complaint_escalation,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_016,I ordered a bow tie &amp; suspenders last week &amp; only the suspenders were in the package?,delivery_delay,returns_and_refunds,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_017,are very happy to take my £8 a month for Prime but now it’s almost December their “one day delivery” takes 3 days!! What’s the point #cancelprime <URL>,delivery_delay,prime_membership,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_018,"Order a lens on they send me the WRONG FUCKING LENS, also ordered green tea and it came WITHOUT THE LID!",delivery_delay,damaged_defective_item,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_019,Yes they were. All through Amazon. There have been occasions that your delivery service has delivered to the wrong address and even stolen.,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_020,"got the message, mail and notification from the app that my item got delivered but I didn't get any. Called the delivery agent but his number is not reachable. Not sure when I am suppose to get the item. 2nd time this is happening. #NeedSolution",missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_021,my favorite thing is when leave your parcel outside your front door... in south-west England... in winter... well guess a first for everything,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_022,Not impressed with leaving my parcel in plain view by my front door. I was in all day!,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_023,have a word with your couriers. Leave packages of significant value by my front door where anyone walking past could see and help themselves. The delivery report lies and says they delivered to me. <URL>,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_024,"hey, my prime now order was delivered but not to the correct address. Who do I contact for my money back?",missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_025,How many times will it take to get to respond to their fulfillment team leaving packages on the sidewalk to get stolen?,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_026,Yes. I called in about a delivery that was made. Just wasn't made to my house. I was told they have until 4pm to deliver it so I needed to wait After that time passes and no delivery they would call me back Not understanding cause it's marked delivered already,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_027,today is the date but it is to a business address. So if they leave it at the closed business I will have to go get it so it isn't stolen.,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_028,"I had guaranteed delivery for today, was sitting right by my front door at said time of delivery, yet got notification [1/2]",missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_029,my package never showed up but it's marked as delivered. I have no option to replace. Is there a waiting window?,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_030,"Dear , can you please tell your delivery team that is not okay to open someone's front door, without ringing the doorbell, dropping the delivery in our hall and leaving. Disgusting disrespect. Trespassing. Not happy!",missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_031,Second package that says it was delivered but wasn’t #pissed,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_032,No I do not :( says delivered direct to customer but I was not in last night??,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_033,"Aye fam, it’s been bout 36 hours. My package says delivered but I do not have it, mailbox been checked, box office been checked <URL>",missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_034,I just want to make sure my order hasn’t arrived instead of being stolen.,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_035,order no. 171-3098713-1137162 Is marked as delivered but it is not delivered yet. Pls cancel it and refund the amount,missing_delivered_package,missing_delivered_package,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_036,"HELP! has once again stolen money from my family and I! Claiming I've signed up to their stupid ""prime"" membership! NEVER DID SUCH A THING! The way they do business is DIRTY! THIEVES! NEVER SIGN UP FOR PRIME! EVER!!!! #ThursdayThoughts <URL>",missing_delivered_package,prime_membership,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",VERIFIED,
golden_037,"Ordered on Oct 10, 2017 (405-0503267-5750730) been waiting for months for the refund, indeed pathetic service",returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_038,Hello! I canceled my Amazon prime on September 23rd and was told I would get the refund on my card in 3-5 days and it's still not there. Help?,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_039,I will now have to go to Argos and buy one tomorrow as I can’t risk any more delay. Product will therefore be returned straight back. 2/2,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_040,Returning the whole thing?,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_041,you've charged me £42 for a replacement after you already confirmed receipt of original from me. Why have I been charged?!,returns_and_refunds,payment_and_billing,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_042,When I was adding mny there was no clearification that money cant be credited back to bank a/c I hve lost my mney I don't buy anythng frm u,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_043,"I have already emailed about it twice, and got told to return it for a refund 🤷‍♀️🤷‍♀️if it had been delivered I wouldn't need a refund 😂",returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_044,"exp 10.27 arrived in PR 10.25 returned 10.28
no new tracking info by even after inquiring to about it within the time frame",returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_045,But he said it cud only be replaced but your money cannot be refunded. And wat good is rplcmnt to me if i still cant use the it.,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_046,Non sense. Amazon sent me jewellery without hallmark with other defects. Now not taking return even i initiated return widin 30min of dlvry,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_047,"oMy return request for product to be picked up is not done track I'd is 
57905536765 please respond call me at 8331833232",returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_048,Yesterday I bought a camera. It was a mistake. I dnt want it. Please refund it instead of replacement.,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_049,I ordered 2 books for my sister in Canada that haven't shown up. Ordered 11th Oct... How do I get a refund ?,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_050,I have logged this through my account as you suggested. In the meantime I’ll try not to cut myself packing it up to send it back to you <URL>,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_051,Yes of course. They referred me to you. There’s no pending payments showing either. I’ve been a loyal Amazon customer for years &amp; have had refunds before and never had an issue. I can screenshot you my bank statement- the money is not there. You are the 7th person I’ve spoken to,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_052,are people are not vele. you should open mutual fund. Take money and refund after a year without any interest. <URL>,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_053,"pathetic customer service continues. Pack not picked up despite 10+calls &amp; no site of refund despite commitments.
CC",returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_054,your customer care is very poor.i don't no my return status . It is still pending after a month. Do something.,returns_and_refunds,returns_and_refunds,"Explain return procedure and refund timeline clearly, provide link to Online Returns Center, and clarify that funds are returned to original payment method upon return processing.",Guide customer to Online Returns Center; state standard refund processing window (typically 3-5 business days after receipt); avoid stating a refund has already posted.,VERIFIED,
golden_055,"We purchased an item last year which became faulty and replacement was organised. Unfortunately the wrong item was given to the driver and we are trying to get it returned. The faulty item has been returned, and new one delivered.",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_056,"Return not accepted,absolutely no adhesive was there in d tempered glass which makes d order meaningless.replace d defective product asap",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_057,"as usual another broken promise from Amazon , customer service leaves a lot to be desired ! Even after being given chance after chance !",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_058,"Hey , next time you ship me glassware, can you use sufficient padding and maybe actually mark ""fragile"" or ""glass"" somewhere on the external box? Miraculously only one of my 12 glasses was broken though.",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_059,I have ordered canon1300d worth rs 21000 dslr camera and they sent me broken 500rs speakers inside the box... <URL>,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_060,You sent me this broken gamepad and still didnt take it back ! <URL>,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_061,"The same driver that reversed into my fence, delivered a damaged package with liquid pouring out of it &amp; said I just deliver it",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_062,"I purchased a laptop in feb-17 with 1 year warranty, on Lenovo website the warranty has already expired. It was bought in sept-16.",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_063,"I purchased a Amazon fire from you in August, the screen cracked - literally had a minor scratch &amp; split. Is it under guarantee.",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_064,"Yes...guaranteed delivery on Friday, then satuday, then Sunday, then today, have been offered $5, $20 and 30% refund (on $27 purchase)my word to my client has been damaged, based on failed guarantees and lies from Cust. Svc if I was told the truth, I could have salvaged client :(",damaged_defective_item,delivery_delay,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_065,order # 111-3489182-1231424 shows up like this today. 2nd package in 2 weeks that has arrived damaged due to shoddy packaging. Not pleased at all <URL>,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_066,Hiya - delivered by 'Amazon Shipping' according to the app. Haven't opened the box to check. Not sure I want to open / accept it damaged,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_067,I ordered Moto M on . They sent a defective piece. Now not giving replacement. This happened twice. Fake festive offers,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_068,"How do I see my messages? Need to send some photos to a seller since they requested them, (defective product) but unsure if attaching them to an email would work.",damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_069,why did you send me a product that has already been marked as damaged? <URL>,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_070,I had requested for return of defective mobile but nobody came for pickup it has been more than week. Bad service...disappointed,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_071,"Here's my order no. 4__credit_card__. Two times defective product was delivered to me. Kindly refund my money in my bank A/c, not in wallet",damaged_defective_item,returns_and_refunds,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_072,Worst product on Amazon.its provide defective product and also worst servise. don’t buy on this Amazon❌🚫,damaged_defective_item,damaged_defective_item,"Express genuine regret for damaged or defective item, reassure customer that replacement or refund is available, and guide them to Returns Center for a prepaid replacement label.",Apologize for damaged condition; outline replacement or return steps; do not request the customer pay for return shipping on defective goods.,VERIFIED,
golden_073,"Already done. The problem is thet the order doesn't appear in any list, ordered nor cancelled. But to all our calls employees said: pending",order_cancellation,order_cancellation,"Assess order dispatch stage, direct customer to 'Your Orders' for immediate cancellation if not shipped, or explain return-upon-delivery workflow if already dispatched.",Direct customer to Your Orders to check if cancellation is still possible; clarify that shipped orders cannot be cancelled directly and must be returned.,VERIFIED,
golden_074,"Received my package today, 2 days late. This happens far too often. I pay for a Prime membership because I want the 2 day shipping. If all I get for my money is basically standard shipping with a fake delivery notice on day 2 I might as well cancel my membership.",order_cancellation,delivery_delay,"Assess order dispatch stage, direct customer to 'Your Orders' for immediate cancellation if not shipped, or explain return-upon-delivery workflow if already dispatched.",Direct customer to Your Orders to check if cancellation is still possible; clarify that shipped orders cannot be cancelled directly and must be returned.,VERIFIED,
golden_075,i cancelled my subscription through your website so why didn't it show i cancelled it?,order_cancellation,order_cancellation,"Assess order dispatch stage, direct customer to 'Your Orders' for immediate cancellation if not shipped, or explain return-upon-delivery workflow if already dispatched.",Direct customer to Your Orders to check if cancellation is still possible; clarify that shipped orders cannot be cancelled directly and must be returned.,VERIFIED,
